"","year","bsan.sum_catch","bocc.sum_catch","chal.sum_catch","kbas.sum_catch","pbar.sum_catch","wcro.sum_catch","bsan.sum_harv","bocc.sum_harv","chal.sum_harv","kbas.sum_harv","pbar.sum_harv","wcro.sum_harv","bsan.sum_dead","bocc.sum_dead","chal.sum_dead","kbas.sum_dead","pbar.sum_dead","wcro.sum_dead"
"1",1980,1016429.7746374,2219442.722942,722952.4558243,2274118.5422822,184067.9175284,6812487.6356857,54192.8203819,302336.8523103,9347.9017744,145763.0916608,13633.2041246,817316.0728197,1016429.7746374,2219442.722942,722952.4558243,2274118.5422822,184067.9175284,6812487.6356857
"2",1981,607007.23084,988307.67801075,583921.37093594,1867966.55531314,352959.7001973,2680116.72290554,32977.8815238,74727.7344899,10274.3628147,113884.1069772,20567.762459,202553.2065373,607007.23084,988307.67801075,583921.37093594,1867966.55531314,352959.7001973,2680116.72290554
"3",1982,2102266.2704152,1045855.2256355,884831.6592058,2660556.4805429,1550566.272417,2492918.5214917,167239.8756324,47452.8610244,10431.9091455,112834.2196259,40131.0075124,245369.1625145,2102266.2704152,1045855.2256355,884831.6592058,2660556.4805429,1550566.272417,2492918.5214917
"4",1983,1125336.9624707,205852.1378278,325059.92645445,2941274.2528485,895855.99972614,1671462.3394816,54091.99042285,14259.0925735,4303.8030242,115315.3133458,20236.22315269,138341.80246413,1125336.9624707,205852.1378278,325059.92645445,2941274.2528485,895855.99972614,1671462.3394816
"5",1984,1025635.65939292,392820.6194874,492050.7752877,3037973.1911366,1489136.4132669,1562539.7065623,57098.4467934,80861.1957369,1950.2117813,115397.4991229,45144.5317506,174313.4712647,1025635.65939292,392820.6194874,492050.7752877,3037973.1911366,1489136.4132669,1562539.7065623
"6",1985,1718743.7448556,712546.268951,911790.45381209,2555877.0390285,1795960.01269314,1363029.2151038,123262.0307738,91541.3674198,5182.4969732,81700.6985002,15424.6468463,211332.71267085,1718743.7448556,712546.268951,911790.45381209,2555877.0390285,1795960.01269314,1363029.2151038
"7",1986,2269966.3792878,677261.7305734,1339167.1298396,4500244.9163875,1155995.6754548,2116624.9425866,83631.8741304,54600.3984367,6374.6532902,100171.1860637,15827.4911469,201403.6926407,2269966.3792878,677261.7305734,1339167.1298396,4500244.9163875,1155995.6754548,2116624.9425866
"8",1987,2592189.3055989,212161.8776479,1549719.8967326,2316710.1513411,1379473.6515897,1596480.8937124,337904.9667532,40384.4341516,44746.94090986,208273.6258986,129771.0213652,133472.97799306,2592189.3055989,212161.8776479,1549719.8967326,2316710.1513411,1379473.6515897,1596480.8937124
"9",1988,4222261.918379,1173887.7939424,1633071.9245128,2162501.2782985,844607.0397312,2273094.4904299,312064.7153063,166481.96707,14219.5443137,147156.9275216,28898.275925,132414.6459468,4222261.918379,1173887.7939424,1633071.9245128,2162501.2782985,844607.0397312,2273094.4904299
"10",1989,2284790.32049,307424.095063,1551892.5024476,1489383.4449534,729390.4969804,2360963.2483714,248549.1090526,2207.356547,21032.6649799,122750.7671635,24118.4156,538993.2206799,2284790.32049,307424.095063,1551892.5024476,1489383.4449534,729390.4969804,2360963.2483714
"11",1993,1541621.98867114,116551.5371864,295190.6087426,2590106.1991754,1243610.1784833,1084918.58897328,95012.2879099,7284.528475,4870.7980565,139197.9247372,57268.3381634,75001.4704039,1541621.98867114,116551.5371864,295190.6087426,2590106.1991754,1243610.1784833,1084918.58897328
"12",1994,1596578.2142491,172844.8924643,496976.99417564,2184925.1842383,1895628.2910652,743476.3218885,73848.6786631,28981.7691241,5407.8212386,81790.4726074,29605.9579146,43597.9046383,1596578.2142491,172844.8924643,496976.99417564,2184925.1842383,1895628.2910652,743476.3218885
